Temparature,Humidity ,Moisture,Nitrogen,Potassium,Phosphorous,Soil Type,Crop Type,Fertilizer Name
27,65,50,4,18,22,Loamy,Tobacco,10-26-26
24,63,50,9,0,11,Sandy,Pulses,20-20
38,56,41,9,9,28,Loamy,Maize,14-35-14
29,62,28,8,9,30,Clayey,Sugarcane,14-35-14
33,56,32,24,0,26,Red,Paddy,28-28
36,59,31,22,0,18,Clayey,Wheat,28-28
35,53,44,23,0,25,Red,Ground Nuts,28-28
32,53,42,23,0,27,Red,Tobacco,28-28
29,57,44,11,1,13,Loamy,Cotton,20-20
29,39,44,13,14,15,Sandy,Sugarcane,17-17-17
28,57,47,5,10,31,Black,Oil seeds,14-35-14
35,54,50,14,0,40,Clayey,Cotton,DAP
27,58,62,11,15,12,Loamy,Cotton,17-17-17
33,62,37,22,0,21,Clayey,Wheat,28-28
30,66,41,6,9,29,Sandy,Maize,14-35-14
29,61,54,14,12,12,Black,Sugarcane,17-17-17
34,56,40,14,14,13,Sandy,Maize,17-17-17
31,53,48,11,13,12,Sandy,Cotton,17-17-17
31,54,47,14,2,14,Sandy,Wheat,20-20
27,66,36,21,0,21,Black,Maize,28-28
30,58,48,22,0,21,Clayey,Tobacco,28-28
32,57,40,12,1,41,Loamy,Oil seeds,DAP
30,69,30,8,18,19,Red,Wheat,10-26-26
31,66,55,9,15,13,Sandy,Barley,17-17-17
28,69,34,11,0,11,Black,Sugarcane,20-20
26,71,44,7,9,33,Clayey,Maize,14-35-14
32,62,45,23,0,22,Loamy,Tobacco,28-28
30,60,55,14,0,39,Loamy,Cotton,DAP
33,60,32,12,1,41,Red,Ground Nuts,DAP
34,56,48,14,0,10,Clayey,Oil seeds,20-20
28,47,48,41,0,1,Black,Sugarcane,Urea
33,57,56,10,15,17,Loamy,Ground Nuts,17-17-17
34,53,32,5,18,19,Clayey,Pulses,10-26-26
22,57,48,6,16,17,Red,Pulses,10-26-26
31,74,35,37,0,0,Loamy,Wheat,Urea
34,67,47,12,15,11,Sandy,Maize,17-17-17
31,47,23,37,0,0,Sandy,Paddy,Urea
31,54,22,11,13,13,Black,Barley,17-17-17
34,65,50,13,0,39,Black,Cotton,DAP
29,62,47,8,7,32,Loamy,Pulses,14-35-14
26,41,47,40,0,0,Clayey,Paddy,Urea
34,56,68,12,0,39,Red,Sugarcane,DAP
34,52,50,24,1,21,Sandy,Paddy,28-28
28,60,39,11,0,39,Red,Ground Nuts,DAP
29,67,43,40,0,0,Loamy,Millets,Urea
28,62,60,39,0,0,Loamy,Paddy,Urea
27,63,49,23,1,21,Black,Cotton,28-28
32,59,38,7,11,30,Black,Pulses,14-35-14
25,56,42,21,1,21,Black,Tobacco,28-28
31,44,40,13,12,15,Black,Barley,17-17-17
33,58,19,13,0,38,Red,Paddy,DAP
38,52,42,42,0,0,Clayey,Maize,Urea
35,55,52,7,8,27,Sandy,Cotton,14-35-14
33,55,33,38,0,0,Black,Maize,Urea
28,71,55,13,1,36,Red,Cotton,DAP
29,59,38,21,0,18,Clayey,Pulses,28-28
30,61,59,14,13,13,Sandy,Sugarcane,17-17-17
34,62,43,12,1,39,Red,Cotton,DAP
30,63,31,9,12,16,Sandy,Sugarcane,17-17-17
31,57,23,10,14,9,Sandy,Sugarcane,17-17-17
33,64,36,13,0,37,Red,Millets,DAP
30,76,42,10,18,17,Clayey,Barley,10-26-26
26,56,33,4,16,18,Sandy,Pulses,10-26-26
28,47,53,10,13,14,Black,Cotton,17-17-17
26,58,45,14,10,12,Loamy,Cotton,17-17-17
30,58,62,10,8,25,Loamy,Sugarcane,14-35-14
29,63,51,23,0,16,Sandy,Pulses,28-28
30,52,59,13,12,16,Sandy,Sugarcane,17-17-17
31,66,48,13,0,39,Sandy,Cotton,DAP
36,58,52,8,0,9,Sandy,Oil seeds,20-20
24,69,55,9,9,26,Clayey,Paddy,14-35-14
33,59,50,38,0,0,Loamy,Wheat,Urea
32,55,42,43,2,0,Sandy,Tobacco,Urea
36,65,56,8,18,17,Red,Barley,10-26-26
32,61,43,13,0,12,Loamy,Wheat,20-20
25,62,29,6,16,24,Red,Wheat,10-26-26
28,56,43,13,0,17,Black,Millets,20-20
33,54,43,12,0,16,Sandy,Sugarcane,20-20
31,55,58,8,8,31,Sandy,Cotton,14-35-14
28,65,38,37,0,0,Clayey,Millets,Urea
27,58,64,13,1,10,Black,Millets,20-20
24,45,29,16,19,18,Clayey,Barley,10-26-26
27,54,40,18,0,19,Clayey,Millets,28-28
39,67,46,15,0,38,Loamy,Oil seeds,DAP
29,68,44,38,0,0,Clayey,Wheat,Urea
29,67,49,13,0,37,Red,Ground Nuts,DAP
33,57,40,10,0,10,Loamy,Cotton,20-20
32,59,87,10,7,30,Loamy,Cotton,14-35-14
33,58,45,22,0,22,Sandy,Ground Nuts,28-28
32,54,34,12,1,38,Red,Ground Nuts,DAP
30,71,68,12,0,40,Sandy,Sugarcane,DAP
33,49,42,14,14,13,Sandy,Sugarcane,17-17-17
25,62,65,11,0,12,Loamy,Wheat,20-20
32,59,47,10,0,12,Sandy,Pulses,20-20
31,58,41,8,8,25,Clayey,Sugarcane,14-35-14
31,65,34,38,0,0,Black,Pulses,Urea
35,47,51,22,0,24,Loamy,Wheat,28-28
31,53,53,12,0,13,Loamy,Millets,20-20
27,61,48,11,1,13,Black,Millets,20-20
27,63,44,9,18,19,Red,Pulses,10-26-26
37,65,48,14,0,38,Sandy,Barley,DAP
31,56,40,8,10,29,Clayey,Barley,14-35-14
23,55,50,10,1,11,Loamy,Millets,20-20
29,59,46,14,0,37,Red,Ground Nuts,DAP
30,61,62,21,0,19,Loamy,Pulses,28-28
25,61,42,40,0,1,Red,Pulses,Urea
24,50,34,13,11,13,Red,Cotton,17-17-17
36,62,45,21,1,19,Clayey,Paddy,28-28
26,53,51,10,15,12,Black,Sugarcane,17-17-17
36,57,50,12,12,16,Sandy,Maize,17-17-17
27,67,39,23,0,24,Loamy,Tobacco,28-28
25,66,34,12,0,38,Loamy,Oil seeds,DAP
30,53,49,8,9,30,Sandy,Wheat,14-35-14
34,53,45,5,18,19,Clayey,Barley,10-26-26
26,53,21,12,0,9,Loamy,Millets,20-20
35,51,41,10,18,16,Red,Paddy,10-26-26
29,75,27,8,9,33,Sandy,Maize,14-35-14
31,62,43,12,0,15,Black,Sugarcane,20-20
32,64,32,38,0,0,Black,Wheat,Urea
31,63,49,24,0,20,Sandy,Barley,28-28
26,61,40,41,1,3,Black,Sugarcane,Urea
33,53,45,14,15,12,Loamy,Cotton,17-17-17
27,51,22,42,1,0,Black,Wheat,Urea
29,63,36,22,0,18,Clayey,Pulses,28-28
32,58,37,9,7,30,Loamy,Wheat,14-35-14
36,58,59,12,1,7,Clayey,Oil seeds,20-20
29,49,39,38,0,0,Loamy,Millets,Urea
33,58,49,8,8,34,Loamy,Wheat,14-35-14
32,55,65,16,0,41,Loamy,Barley,DAP
27,65,27,6,20,16,Clayey,Tobacco,10-26-26
32,50,36,10,11,13,Loamy,Ground Nuts,17-17-17
28,62,38,10,11,11,Black,Sugarcane,17-17-17
32,61,38,8,9,25,Loamy,Wheat,14-35-14
33,59,38,6,18,20,Red,Tobacco,10-26-26
26,60,39,22,3,22,Loamy,Ground Nuts,28-28
30,61,36,4,20,23,Clayey,Pulses,10-26-26
27,64,56,5,20,16,Clayey,Tobacco,10-26-26
31,63,54,9,15,15,Sandy,Sugarcane,17-17-17
32,62,51,8,7,30,Loamy,Paddy,14-35-14
29,63,59,39,2,0,Loamy,Wheat,Urea
32,56,27,22,0,22,Clayey,Paddy,28-28
37,60,57,12,0,11,Loamy,Millets,20-20
29,59,54,10,15,10,Sandy,Cotton,17-17-17
29,59,38,9,0,12,Loamy,Millets,20-20
25,53,33,16,0,39,Red,Ground Nuts,DAP
31,62,59,24,0,19,Clayey,Tobacco,28-28
38,51,48,14,0,39,Sandy,Cotton,DAP
23,58,46,13,13,13,Sandy,Maize,17-17-17
30,49,42,25,0,20,Sandy,Millets,28-28
23,63,40,10,17,19,Sandy,Barley,10-26-26
32,57,37,23,0,19,Loamy,Paddy,28-28
37,61,50,9,8,31,Clayey,Maize,14-35-14
31,57,46,13,0,12,Black,Wheat,20-20
34,58,15,15,0,37,Red,Barley,DAP
23,56,52,12,11,11,Red,Ground Nuts,17-17-17
30,55,37,15,0,39,Loamy,Pulses,DAP
31,56,31,9,19,17,Clayey,Pulses,10-26-26
31,61,41,11,0,11,Clayey,Millets,20-20
27,53,52,14,13,13,Sandy,Barley,17-17-17
23,62,39,10,11,14,Red,Sugarcane,17-17-17
31,61,23,12,1,40,Sandy,Ground Nuts,DAP
28,61,26,39,0,1,Clayey,Oil seeds,Urea
29,51,40,5,18,18,Sandy,Paddy,10-26-26
31,66,37,23,0,21,Clayey,Cotton,28-28
26,63,55,13,15,12,Sandy,Ground Nuts,17-17-17
26,62,55,8,0,8,Clayey,Pulses,20-20
25,48,39,14,20,19,Loamy,Barley,10-26-26
31,53,54,24,0,19,Clayey,Pulses,28-28
32,66,51,40,1,1,Sandy,Millets,Urea
31,61,63,7,10,30,Sandy,Pulses,14-35-14
23,56,55,15,11,12,Black,Maize,17-17-17
26,55,40,8,19,21,Clayey,Tobacco,10-26-26
34,56,35,8,10,31,Red,Cotton,14-35-14
32,60,45,23,2,17,Sandy,Maize,28-28
37,66,44,23,0,16,Red,Tobacco,28-28
35,64,27,13,1,42,Clayey,Ground Nuts,DAP
30,54,37,13,0,39,Red,Cotton,DAP
34,54,48,12,0,13,Sandy,Sugarcane,20-20
39,57,52,8,8,30,Red,Sugarcane,14-35-14
32,54,46,11,11,12,Red,Sugarcane,17-17-17
29,68,44,12,13,14,Black,Ground Nuts,17-17-17
30,65,37,23,1,19,Black,Barley,28-28
34,53,59,15,15,13,Black,Ground Nuts,17-17-17
25,54,22,16,14,12,Loamy,Sugarcane,17-17-17
30,60,42,4,18,19,Sandy,Tobacco,10-26-26
30,55,50,39,1,1,Red,Paddy,Urea
29,60,41,23,0,25,Sandy,Barley,28-28
31,60,50,37,1,0,Black,Wheat,Urea
29,60,33,10,1,14,Sandy,Sugarcane,20-20
22,73,35,12,17,21,Red,Tobacco,10-26-26
33,63,46,8,11,33,Black,Maize,14-35-14
28,58,45,13,0,41,Clayey,Pulses,DAP
25,51,52,23,0,23,Sandy,Barley,28-28
27,59,44,22,0,21,Sandy,Maize,28-28
27,43,51,11,1,13,Black,Pulses,20-20
31,58,35,13,17,13,Sandy,Barley,17-17-17
26,74,63,10,0,13,Loamy,Oil seeds,20-20
32,57,17,23,0,21,Red,Barley,28-28
29,49,43,15,14,13,Sandy,Cotton,17-17-17
28,58,52,20,0,23,Red,Millets,28-28
29,55,61,39,0,1,Red,Millets,Urea
29,58,33,14,13,14,Sandy,Barley,17-17-17
27,53,40,11,11,11,Loamy,Cotton,17-17-17
29,58,57,23,2,23,Black,Pulses,28-28
29,60,31,8,9,31,Sandy,Cotton,14-35-14
33,68,42,9,10,33,Loamy,Cotton,14-35-14
28,54,39,22,1,17,Loamy,Paddy,28-28
32,55,42,23,0,18,Black,Paddy,28-28
28,58,38,12,0,13,Sandy,Pulses,20-20
38,63,50,6,19,17,Red,Paddy,10-26-26
30,57,43,14,1,10,Loamy,Pulses,20-20
40,66,50,11,0,39,Loamy,Cotton,DAP
26,49,28,3,18,14,Red,Pulses,10-26-26
23,55,56,38,0,0,Clayey,Ground Nuts,Urea
30,48,45,8,19,18,Loamy,Barley,10-26-26
33,56,61,14,0,37,Red,Tobacco,DAP
35,60,71,13,15,13,Loamy,Ground Nuts,17-17-17
30,60,59,40,1,1,Loamy,Cotton,Urea
28,55,49,12,0,36,Red,Paddy,DAP
29,51,38,0,18,20,Clayey,Pulses,10-26-26
33,65,38,11,0,13,Sandy,Sugarcane,20-20
31,49,46,40,0,0,Clayey,Maize,Urea
29,61,47,13,12,14,Loamy,Sugarcane,17-17-17
35,57,60,7,7,31,Black,Sugarcane,14-35-14
34,57,53,8,8,30,Black,Oil seeds,14-35-14
34,66,26,12,0,11,Loamy,Oil seeds,20-20
32,62,52,11,0,13,Black,Oil seeds,20-20
28,57,45,42,1,0,Clayey,Pulses,Urea
28,61,31,9,9,32,Loamy,Barley,14-35-14
32,51,64,11,0,9,Clayey,Paddy,20-20
28,59,48,12,12,13,Red,Sugarcane,17-17-17
31,64,40,11,18,17,Red,Wheat,10-26-26
26,58,34,6,17,17,Clayey,Tobacco,10-26-26
29,66,28,14,0,40,Red,Cotton,DAP
33,61,49,12,1,37,Loamy,Tobacco,DAP
30,59,61,13,13,16,Black,Ground Nuts,17-17-17
29,59,53,11,0,11,Loamy,Oil seeds,20-20
29,64,31,7,17,15,Clayey,Barley,10-26-26
26,58,41,10,8,24,Loamy,Paddy,14-35-14
27,65,33,13,10,13,Sandy,Maize,17-17-17
25,55,44,23,0,16,Sandy,Millets,28-28
34,65,32,24,0,23,Red,Maize,28-28
29,47,43,23,0,24,Black,Tobacco,28-28
23,69,44,38,0,0,Clayey,Oil seeds,Urea
32,60,60,11,0,11,Clayey,Wheat,20-20
32,59,42,9,10,25,Black,Pulses,14-35-14
33,54,27,11,0,13,Sandy,Pulses,20-20
29,64,40,6,8,27,Black,Maize,14-35-14
27,59,43,13,0,39,Sandy,Cotton,DAP
36,51,50,10,13,14,Red,Sugarcane,17-17-17
25,61,51,13,0,36,Clayey,Cotton,DAP
28,52,61,40,0,1,Black,Sugarcane,Urea
31,58,32,9,0,10,Clayey,Sugarcane,20-20
25,51,36,7,19,19,Clayey,Wheat,10-26-26
28,54,32,23,0,18,Clayey,Barley,28-28
33,57,28,14,1,37,Loamy,Tobacco,DAP
24,51,35,22,0,22,Clayey,Paddy,28-28
27,71,40,9,17,16,Sandy,Pulses,10-26-26
28,56,35,36,0,0,Black,Pulses,Urea
37,59,61,7,17,20,Sandy,Pulses,10-26-26
36,62,51,5,7,32,Loamy,Cotton,14-35-14
35,69,38,8,8,31,Black,Sugarcane,14-35-14
29,57,42,12,1,42,Sandy,Pulses,DAP
31,47,27,39,1,0,Loamy,Ground Nuts,Urea
30,60,52,12,15,10,Black,Ground Nuts,17-17-17
28,54,47,11,1,8,Black,Oil seeds,20-20
28,56,40,7,8,26,Red,Maize,14-35-14
30,52,59,40,0,0,Black,Millets,Urea
27,64,63,9,15,16,Black,Sugarcane,17-17-17
28,59,32,15,0,40,Black,Ground Nuts,DAP
35,63,26,12,0,38,Red,Cotton,DAP
27,67,57,13,1,13,Loamy,Wheat,20-20
33,63,32,41,0,1,Black,Millets,Urea
29,70,43,22,0,25,Black,Maize,28-28
28,62,34,34,0,0,Clayey,Oil seeds,Urea
31,64,41,12,17,15,Red,Wheat,10-26-26
29,64,50,22,0,18,Red,Wheat,28-28
31,51,73,14,0,14,Black,Sugarcane,20-20
28,57,37,4,17,20,Loamy,Pulses,10-26-26
32,65,48,25,1,21,Sandy,Ground Nuts,28-28
30,65,29,13,19,18,Clayey,Pulses,10-26-26
33,60,50,23,0,16,Sandy,Paddy,28-28
32,54,34,24,0,22,Sandy,Millets,28-28
28,55,38,23,0,20,Loamy,Paddy,28-28
27,55,46,22,0,17,Black,Paddy,28-28
28,45,53,10,11,13,Sandy,Sugarcane,17-17-17
25,68,37,9,0,14,Black,Sugarcane,20-20
30,52,65,15,0,40,Red,Wheat,DAP
28,59,47,10,11,12,Sandy,Sugarcane,17-17-17
32,59,41,13,0,42,Loamy,Cotton,DAP
28,62,31,23,0,20,Clayey,Wheat,28-28
27,64,49,11,15,13,Red,Cotton,17-17-17
29,58,32,8,0,11,Clayey,Pulses,20-20
29,59,30,14,1,38,Black,Cotton,DAP
30,57,48,10,17,15,Sandy,Wheat,10-26-26
34,48,38,36,0,1,Loamy,Tobacco,Urea
31,58,54,11,16,15,Sandy,Cotton,17-17-17
32,53,47,9,7,26,Sandy,Cotton,14-35-14
35,53,62,11,7,32,Sandy,Sugarcane,14-35-14
32,53,43,40,0,1,Clayey,Oil seeds,Urea
28,55,38,11,0,9,Sandy,Millets,20-20
29,48,35,4,17,18,Loamy,Tobacco,10-26-26
29,66,29,14,1,40,Sandy,Cotton,DAP
27,59,58,8,9,34,Sandy,Maize,14-35-14
34,46,48,22,1,21,Sandy,Pulses,28-28
30,73,35,4,18,16,Clayey,Pulses,10-26-26
27,51,55,40,1,1,Black,Millets,Urea
31,62,49,8,0,13,Clayey,Paddy,20-20
27,58,42,6,8,31,Clayey,Paddy,14-35-14
25,52,49,24,0,16,Clayey,Wheat,28-28
35,64,35,8,10,31,Loamy,Cotton,14-35-14
27,58,29,40,2,1,Black,Paddy,Urea
34,67,50,36,0,0,Red,Paddy,Urea
28,58,40,22,0,22,Sandy,Wheat,28-28
26,61,47,8,17,19,Clayey,Pulses,10-26-26
30,60,34,23,0,17,Loamy,Pulses,28-28
30,64,49,35,1,1,Loamy,Tobacco,Urea
33,67,57,14,0,10,Clayey,Sugarcane,20-20
32,53,30,13,0,37,Red,Oil seeds,DAP
28,53,33,11,16,16,Red,Wheat,10-26-26
28,54,37,11,0,11,Black,Cotton,20-20
31,58,21,38,0,2,Black,Cotton,Urea
30,67,23,9,0,40,Sandy,Cotton,DAP
28,55,46,14,14,14,Red,Sugarcane,17-17-17
34,58,18,40,0,0,Loamy,Paddy,Urea
31,51,48,11,0,12,Red,Pulses,20-20
34,49,58,12,0,41,Red,Ground Nuts,DAP
27,53,56,11,0,11,Sandy,Sugarcane,20-20
27,62,38,13,0,10,Sandy,Cotton,20-20
31,64,41,7,8,30,Sandy,Oil seeds,14-35-14
32,58,33,35,0,1,Loamy,Pulses,Urea
32,55,46,11,1,8,Loamy,Pulses,20-20
27,55,35,8,8,31,Sandy,Wheat,14-35-14
36,51,38,11,13,11,Red,Barley,17-17-17
27,50,22,40,0,0,Black,Oil seeds,Urea
30,47,51,13,0,18,Sandy,Oil seeds,20-20
27,58,48,11,12,14,Red,Ground Nuts,17-17-17
32,57,47,24,2,25,Clayey,Millets,28-28
32,60,46,12,0,40,Black,Sugarcane,DAP
36,64,30,12,0,37,Black,Oil seeds,DAP
21,48,56,12,14,13,Red,Ground Nuts,17-17-17
34,62,44,8,9,30,Loamy,Paddy,14-35-14
33,60,37,8,19,16,Clayey,Barley,10-26-26
29,55,35,12,14,13,Red,Maize,17-17-17
33,60,55,14,0,40,Sandy,Millets,DAP
34,62,59,9,9,29,Loamy,Cotton,14-35-14
28,65,49,43,1,0,Loamy,Millets,Urea
27,55,52,12,0,8,Clayey,Paddy,20-20
33,67,29,14,2,38,Red,Barley,DAP
27,50,52,43,0,1,Loamy,Sugarcane,Urea
31,57,28,9,0,11,Black,Cotton,20-20
31,55,40,37,0,1,Black,Sugarcane,Urea
26,70,38,13,0,38,Red,Pulses,DAP
28,70,26,33,0,0,Black,Paddy,Urea
29,57,31,24,1,23,Red,Tobacco,28-28
22,56,51,12,1,13,Loamy,Sugarcane,20-20
28,66,53,13,1,13,Sandy,Sugarcane,20-20
28,63,37,11,16,14,Red,Barley,10-26-26
39,59,34,17,18,20,Clayey,Pulses,10-26-26
31,49,43,12,0,12,Sandy,Sugarcane,20-20
37,57,28,7,7,33,Black,Oil seeds,14-35-14
35,49,58,15,0,33,Loamy,Oil seeds,DAP
36,56,44,10,20,18,Loamy,Tobacco,10-26-26
34,56,25,37,2,1,Black,Tobacco,Urea
32,52,69,12,1,8,Loamy,Sugarcane,20-20
31,57,22,4,19,18,Loamy,Tobacco,10-26-26
33,59,46,22,0,22,Loamy,Maize,28-28
29,61,41,39,0,0,Black,Pulses,Urea
30,56,26,12,14,15,Red,Ground Nuts,17-17-17
29,63,55,12,14,14,Sandy,Sugarcane,17-17-17
26,54,19,14,2,9,Black,Pulses,20-20
29,55,46,13,1,37,Red,Ground Nuts,DAP
39,64,31,14,0,38,Clayey,Ground Nuts,DAP
31,58,43,5,18,20,Clayey,Paddy,10-26-26
32,56,44,4,18,20,Clayey,Paddy,10-26-26
31,53,40,13,12,13,Sandy,Sugarcane,17-17-17
29,54,37,13,1,37,Clayey,Cotton,DAP
35,73,43,24,0,25,Sandy,Cotton,28-28
24,53,18,22,0,21,Clayey,Tobacco,28-28
36,65,57,7,8,29,Sandy,Maize,14-35-14
23,55,50,24,1,18,Clayey,Pulses,28-28
35,63,40,36,0,0,Sandy,Sugarcane,Urea
40,49,39,14,19,17,Red,Pulses,10-26-26
33,59,38,9,9,31,Black,Sugarcane,14-35-14
32,56,41,6,18,15,Clayey,Tobacco,10-26-26
22,52,42,16,1,7,Sandy,Sugarcane,20-20
34,59,56,14,1,35,Loamy,Cotton,DAP
32,68,17,13,0,40,Sandy,Barley,DAP
32,62,39,7,18,18,Sandy,Tobacco,10-26-26
31,64,43,41,0,1,Black,Oil seeds,Urea
32,65,28,12,1,40,Loamy,Barley,DAP
30,63,27,12,0,38,Red,Cotton,DAP
33,66,38,7,9,27,Red,Oil seeds,14-35-14
32,60,37,10,11,13,Black,Cotton,17-17-17
36,54,51,15,0,41,Sandy,Barley,DAP
28,53,33,15,1,39,Sandy,Cotton,DAP
27,60,28,23,0,19,Black,Paddy,28-28
28,61,51,14,15,14,Sandy,Sugarcane,17-17-17
24,59,42,9,7,26,Sandy,Paddy,14-35-14
34,60,39,38,0,0,Loamy,Paddy,Urea
20,61,66,12,11,12,Black,Barley,17-17-17
33,53,52,7,9,27,Sandy,Paddy,14-35-14
30,66,32,24,2,20,Clayey,Tobacco,28-28
27,45,41,13,15,11,Loamy,Barley,17-17-17
25,58,39,9,0,12,Black,Oil seeds,20-20
28,67,37,6,8,30,Loamy,Maize,14-35-14
30,56,52,10,1,11,Sandy,Millets,20-20
34,57,40,2,19,19,Loamy,Wheat,10-26-26
35,62,38,5,8,29,Loamy,Wheat,14-35-14
33,61,45,12,18,15,Clayey,Pulses,10-26-26
28,58,37,37,0,0,Clayey,Paddy,Urea
30,58,48,20,0,20,Sandy,Tobacco,28-28
26,67,40,14,0,37,Black,Pulses,DAP
30,53,52,3,17,16,Loamy,Tobacco,10-26-26
36,65,45,11,15,16,Loamy,Sugarcane,17-17-17
31,52,49,21,0,20,Sandy,Wheat,28-28
37,66,48,14,0,40,Loamy,Millets,DAP
35,60,37,8,9,33,Clayey,Wheat,14-35-14
26,51,29,9,18,16,Red,Pulses,10-26-26
24,68,40,37,0,0,Black,Tobacco,Urea
32,60,32,40,0,0,Loamy,Tobacco,Urea
32,64,32,10,11,31,Sandy,Cotton,14-35-14
30,67,40,2,18,16,Clayey,Wheat,10-26-26
32,66,58,9,8,31,Clayey,Maize,14-35-14
33,49,54,9,12,11,Loamy,Sugarcane,17-17-17
27,59,38,24,1,23,Sandy,Wheat,28-28
30,49,54,15,1,36,Sandy,Pulses,DAP
20,57,59,9,0,10,Clayey,Pulses,20-20
38,58,67,9,9,25,Sandy,Pulses,14-35-14
30,63,43,12,0,9,Clayey,Paddy,20-20
31,53,49,3,17,19,Red,Paddy,10-26-26
28,56,37,13,0,14,Sandy,Millets,20-20
35,51,60,39,0,0,Black,Paddy,Urea
34,55,39,9,0,8,Black,Millets,20-20
30,69,38,5,18,19,Red,Tobacco,10-26-26
30,63,30,39,0,0,Clayey,Paddy,Urea
34,54,46,10,1,10,Clayey,Cotton,20-20
29,62,43,12,1,14,Loamy,Sugarcane,20-20
35,57,43,6,20,20,Loamy,Pulses,10-26-26
37,70,34,8,16,20,Red,Tobacco,10-26-26
31,66,52,23,1,26,Sandy,Maize,28-28
31,59,61,10,1,12,Clayey,Paddy,20-20
28,58,41,13,0,14,Sandy,Millets,20-20
32,56,43,9,9,31,Black,Barley,14-35-14
26,54,54,12,13,15,Red,Sugarcane,17-17-17
32,66,50,23,0,18,Sandy,Pulses,28-28
26,60,46,11,17,19,Clayey,Tobacco,10-26-26
28,57,24,7,18,18,Sandy,Barley,10-26-26
31,57,50,10,14,12,Sandy,Sugarcane,17-17-17
29,58,30,36,1,1,Clayey,Wheat,Urea
27,65,19,6,19,17,Clayey,Pulses,10-26-26
31,60,34,9,16,15,Black,Maize,17-17-17
33,50,43,43,0,0,Black,Millets,Urea
35,62,14,8,12,29,Clayey,Paddy,14-35-14
36,57,31,22,1,19,Clayey,Ground Nuts,28-28
34,62,44,41,0,1,Black,Wheat,Urea
32,55,42,23,1,16,Sandy,Millets,28-28
30,62,66,9,8,28,Loamy,Cotton,14-35-14
28,54,54,9,9,29,Black,Maize,14-35-14
27,46,44,11,12,14,Red,Sugarcane,17-17-17
22,62,50,21,0,22,Sandy,Barley,28-28
32,49,34,38,0,1,Loamy,Paddy,Urea
20,51,60,12,13,11,Sandy,Cotton,17-17-17
28,58,42,9,8,26,Clayey,Maize,14-35-14
35,63,50,13,0,36,Black,Paddy,DAP
32,60,39,6,17,18,Loamy,Tobacco,10-26-26
37,59,36,6,17,16,Red,Tobacco,10-26-26
21,55,55,9,18,22,Clayey,Pulses,10-26-26
28,60,35,7,16,20,Red,Tobacco,10-26-26
32,67,45,25,0,18,Sandy,Tobacco,28-28
33,57,56,8,18,16,Clayey,Pulses,10-26-26
31,64,68,7,7,32,Clayey,Wheat,14-35-14
28,53,36,13,13,13,Red,Ground Nuts,17-17-17
32,74,42,40,0,0,Sandy,Millets,Urea
29,61,44,25,0,21,Red,Tobacco,28-28
31,61,38,8,18,20,Loamy,Wheat,10-26-26
31,66,50,12,18,19,Clayey,Wheat,10-26-26
30,60,39,39,0,1,Black,Millets,Urea
32,49,49,14,10,13,Loamy,Barley,17-17-17
31,69,39,10,20,21,Red,Tobacco,10-26-26
30,63,26,13,18,21,Loamy,Tobacco,10-26-26
29,54,49,7,11,30,Clayey,Pulses,14-35-14
33,63,32,9,10,30,Loamy,Wheat,14-35-14
29,62,60,8,8,29,Red,Pulses,14-35-14
33,62,26,13,0,37,Clayey,Barley,DAP
25,53,53,16,0,9,Black,Paddy,20-20
31,68,50,10,0,9,Black,Millets,20-20
35,60,52,13,0,39,Black,Ground Nuts,DAP
33,60,43,38,0,0,Loamy,Millets,Urea
33,50,58,13,0,16,Black,Cotton,20-20
32,60,50,8,16,14,Loamy,Tobacco,10-26-26
26,59,52,22,1,20,Clayey,Ground Nuts,28-28
30,60,21,12,1,37,Red,Oil seeds,DAP
27,50,35,15,0,9,Loamy,Wheat,20-20
31,64,26,41,0,0,Sandy,Millets,Urea
31,57,56,16,0,37,Sandy,Cotton,DAP
35,58,32,12,0,39,Red,Paddy,DAP
27,63,45,37,0,1,Loamy,Sugarcane,Urea
37,65,44,13,0,39,Loamy,Ground Nuts,DAP
34,63,28,24,0,23,Loamy,Pulses,28-28
34,72,52,13,0,41,Red,Cotton,DAP
32,59,40,13,0,36,Loamy,Ground Nuts,DAP
34,63,48,10,0,40,Sandy,Wheat,DAP
30,67,50,14,0,36,Loamy,Wheat,DAP
26,59,45,13,19,18,Loamy,Tobacco,10-26-26
24,54,51,10,0,12,Black,Pulses,20-20
30,58,36,7,8,29,Loamy,Oil seeds,14-35-14
22,55,40,14,19,16,Red,Barley,10-26-26
32,55,52,22,0,22,Loamy,Cotton,28-28
27,63,33,14,18,16,Red,Paddy,10-26-26
27,60,60,5,10,32,Clayey,Paddy,14-35-14
29,60,65,13,1,12,Clayey,Millets,20-20
28,66,58,37,0,0,Clayey,Maize,Urea
26,60,59,6,17,19,Loamy,Barley,10-26-26
30,72,50,11,0,35,Black,Barley,DAP
29,62,50,7,9,26,Red,Cotton,14-35-14
29,47,52,7,6,22,Black,Barley,14-35-14
30,58,35,8,19,19,Red,Tobacco,10-26-26
30,64,7,12,0,42,Red,Ground Nuts,DAP
31,53,49,35,0,0,Loamy,Sugarcane,Urea
31,58,44,7,17,18,Loamy,Tobacco,10-26-26
33,62,41,35,0,0,Red,Millets,Urea
26,64,23,9,13,14,Loamy,Ground Nuts,17-17-17
31,54,46,12,0,15,Clayey,Millets,20-20
